Month,Date,Location,Phase of the day ,Target,additional Target info 1 ,additional Target info 2,Images name ,Folder idenifier ,additional info 1 ,additional info 2,additional info 3,additional info 3,additional info 4
August,11,Timmins,Evening,,,,2022-08-12-0713_5-CapObj_0000.PNG,,-,,,,
August,11,Timmins,Evening,,,,2022-08-12-0716_0-CapObj_0000.PNG,,-,,,,
August,12,Ottawa,Evening,Anik F1,,,Preview_20220812_214223_filter-1_10sec_Bin3_-10.6C_gain0.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,,Preview_20220812_214328_filter-1_10sec_Bin3_-9.6C_gain0.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000176.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000181.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000186.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000191.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000196.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000202.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000217.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000222.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.50C_10.000secs_00000156.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-11.10C_10.000secs_00000151.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-9.70C_10.000secs_00000161.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-9.70C_10.000secs_00000166.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-9.80C_10.000secs_00000171.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-9.90C_10.000secs_00000207.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-9.90C_10.000secs_00000212.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000177.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000182.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000187.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000192.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000197.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000203.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000218.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.00C_10.000secs_00000223.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-10.20C_10.000secs_00000157.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-11.20C_10.000secs_00000152.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-9.70C_10.000secs_00000162.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-9.70C_10.000secs_00000167.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-9.80C_10.000secs_00000172.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-9.90C_10.000secs_00000208.fit,,-,,,,
